サークル名,著者,キーワード,ジャンル詳細,詳細ページ,Webサイト,設営場所
"日本アキバ学会","えきどなG","Arduino,bit,micro,サイバーセキュリティ","Arduinoとmicro:bitを使った電子工作入門シリーズ、サイバーセキュリティ研究シリーズ","https://techbookfest.org/event/tbf06/circle/67560005","https://techbookfest.org/event/tbf04/circle/18260003","い12"
"カンテンボーキ","サニ",")．,PIC,Pi,Raspberry,ドローン,ブロックシューター","Raspberry Piとマイコン(PICを予定)を用いた対ドローン高射砲(ブロックシューター)の設計・製作についての本．対象は電子工作初心者(自分も初心者であるため)．今回は準備号とし，理論式の導出を行う．","https://techbookfest.org/event/tbf06/circle/42080002","https://twitter.com/snyrnycldy","い13"
"Raspberry Pi もくもく会","Raspberry Pi もくもく会","Pi,Raspberry,Tips,ラズパイ","Raspberry Pi もくもく会メンバー厳選の 今すぐできる活用レシピ集。ラズパイをちょっと便利に使うTipsから、活用事例の紹介など。キーホルダーもあるよ！","https://techbookfest.org/event/tbf06/circle/67700001","https://raspberry-pi-moku.connpass.com/","い14"
"Physicaloid","す〜","Docker,RPi,ビジュアライズ","RPiを使って自作・既成品ハードウェアをテストするテクニックをいくつか紹介します。ハードウェアの怖さは不具合が確率的に発生するということです。なるべく効率的に不具合をあぶり出すにはテスト自動化がキーになります。書籍では、RPiをRPiで自動テストする、テスト結果をビジュアライズ化する、Dockerでテスト環境構築、といったテストに役立つ情報をレシピ形式で盛り込みます。また書籍内で使用するハードウェアの頒布も行います。","https://techbookfest.org/event/tbf06/circle/64310003","https://twitter.com/ksksue","い15"
"ElectroComplex","岸本 誠","ElectroComplex,ゲルマラジオ","新刊は、技術系よろず同人誌「ElectroComplex」通巻第2号で、無電源ラジオ（いわゆるゲルマラジオのようなもの）についての記事です","https://techbookfest.org/event/tbf06/circle/46460003","https://ksmakoto.hatenadiary.com/entry/2019/03/17/152612","い16"
"肉と鍋","なおたこ","Arm,CPU,Embedded,IP,OS,Pi,Raspberry,Rust,ドライバ","既刊として、肉の調理（特に低温調理）におけるさまざまな指標の解説や、その測定手法について解説する本を2冊、低温調理器を自作する本を1冊持ち込む。低温調理器自作本については内容を改訂した第3版（頒布実績なし）のダウンロードカードを初版・第2版の購入者に配布する。 また、新刊としてRust Embedded（OS無しでRaspberry Pi上で動作するRust実装）に関する本を頒布する予定。Arm CPUの起動からIPのドライバを実装するまでをRustで実現する。","https://techbookfest.org/event/tbf06/circle/41990001","https://nikutonabe.com/","い17"
"ハロー・ザ・ワールド","まっさん","BLE,Bluetooth,Chrome,FireBase,HTML,JavaScript,WebBluetooth","究極の紅茶を入れるために、BLEで温度管理をして、本当においしい紅茶に必要な温度を追求します。概略：FireBaseでサイト構築→ChromeのWebBluetoothという機能を利用→JavaScriptとHTMLの知識があればBluetooth機器と通信できます！（3/24追記　加速度センサーはやめます）","https://techbookfest.org/event/tbf06/circle/44720003","","い18"
"猫崎製作所","猫崎なお","フリスクサイズ","とにかくちっちゃく作る電子工作。主にフリスクサイズ。","https://techbookfest.org/event/tbf06/circle/71760010","https://nekozakimfg.blog.fc2.com/","い19"
"Mile Stone","zilmina","Arduino,Renesas","ArduinoからRenesas系高性能マイコンへの移行入門を取り扱う予定です。","https://techbookfest.org/event/tbf06/circle/61910003","http://days-for-development.hatenablog.com","い20"
"ふがふが","Kenta IDA","ESP,M,Stack,WioLTE","ESP32、M5StackやWioLTEといった無線通信機能のついたマイコンを使った工作例についての本や基板を頒布します。","https://techbookfest.org/event/tbf06/circle/60310001","http://www.fugafuga.org/","い21"
"MOCHI","mochi","D,DCAD,IoT,io,sakura,soracom,レイヤー","ソフトウェアエンジニア向けにsoracomやsakura.io等のIoT、3DCADでの設計に3Dプリンターでの成型など低レイヤーからハードウェアの入門書。","https://techbookfest.org/event/tbf06/circle/54780001","","い22"
"自動運転同好会","hakuturu583","OSS,ROS,マルチロボットシミュレータ","ROS対応マルチロボットシミュレータと自動運転OSSによるおうちでできる自動運転","https://techbookfest.org/event/tbf06/circle/38470004","","い23"
"いしかわきょーすけ","いしかわきょーすけ","","東アジアの工作機械やロボット関連の展示会紹介本、世界の電子工作雑誌・書籍の評論本、世界の電子パーツ店の評論本","https://techbookfest.org/event/tbf06/circle/58300003","http://www.asahi-net.or.jp/~qx5k-iskw/","い24"
"おこめやエレクトロニクス","_7dki","Analog,Discovery,LTspice,ニキシー","ニキシー管を点灯させるための電源や周辺回路について、既刊の電源回路の本に加えて回路シミュレーションのLTspiceやAnalog Discoveryを活用して回路設計する本を頒布予定です。","https://techbookfest.org/event/tbf06/circle/64110003","https://gachi3lab.blogspot.com/","い25"
